task          , ring_type, method_name   , mode , scene     , mae               , rmse              , mape              , pearson
samsung_hr_com, ring2    , peak          , test , motion    , 36.03             , 42.64             , 49.17             , 0.41
samsung_hr_com, ring2    , peak          , test , stationary,  3.07             ,  4.0              ,  3.89             , 0.97
samsung_hr_com, ring2    , peak          , test , unknown   ,  9.94             , 19.78             , 13.32             , 0.61
spo2          , ring1    , inception_time, 5fold, unknown   ,  3.33             ,  4.61             ,  3.71             , 0.08
spo2          , ring1    , ratio         , test , unknown   ,  3.57             ,  4.65             ,  3.86             , 0.3
spo2          , ring1    , resnet        , 5fold, unknown   ,  3.19             ,  4.4              ,  3.55             , 0.15
spo2          , ring1    , transformer   , 5fold, unknown   ,  3.29             ,  4.66             ,  3.67             , 0.06
spo2          , ring2    , inception_time, 5fold, unknown   ,  3.46             ,  4.91             ,  3.86             , 0.0
spo2          , ring2    , ratio         , test , unknown   ,  3.31             ,  3.95             ,  3.58             , 0.28
spo2          , ring2    , resnet        , 5fold, unknown   ,  3.48             ,  4.93             ,  3.88             , 0.02
spo2          , ring2    , transformer   , 5fold, unknown   ,  3.49             ,  4.99             ,  3.91             , 0.06
